,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192607,12.07,5.56,1.92,1.06,3.19,5.41,1.77,2.44,0.6,4.63,1.24,11.4,1.68,1.5,2.09,2.73,1.58,0.63,0.52
192608,-9.73,2.64,2.64,6.09,1,4.01,2.05,4.58,7.1,0.15,2.18,6.4,2.38,1.58,2.63,4.46,4.94,8.31,3.92
192609,-15.16,1.29,0.06,-0.71,-1.03,3.05,-0.3,-0.17,-1.46,-0.11,-2.3,6.32,0.73,-0.89,0.38,-0.28,0.17,-2.16,0.44
192610,-5.63,-3.59,-2.42,-3.59,-2.88,-2.96,-2.21,-4.18,-4.28,-3.78,-1.63,-5.01,-1.41,-2.31,-2.1,-4.65,-2.8,-5.46,-1.17
192611,5.58,3.13,2.92,3.13,4.11,2.57,1.89,3.96,2.48,6.03,1.49,1.11,3.63,1.97,1.8,4,3.85,2.77,1.76
192612,-6.13,2.96,2.58,2.61,1.69,3.33,1.82,5.2,2.06,1.31,2.23,5.68,1.69,0.66,3.15,5.9,3.21,1.38,3.81
192701,0.69,-0.29,0.02,4.33,-0.37,0.36,-0.47,0.68,5.5,-0.55,-0.12,-0.1,0.71,-1.65,0.87,-0.12,3.03,4.69,7.51
192702,-1.26,4.97,3.66,8.14,3.71,5.04,3.39,5.49,9.22,4.45,2.66,7.57,3.22,3.77,2.96,5,6.91,8.06,12.04
192703,-12.81,1.21,0.16,-2.64,0.25,1.56,-0.42,-0.16,-1.93,0.71,-0.42,3.13,0.38,-1.78,1.08,1.02,-3.48,-3.04,0.67
192704,-6.16,2.92,-0.7,0.41,2.17,0.97,-0.44,-0.03,1.74,3.94,-0.41,4.36,-1.65,-1.11,0.3,0.35,-1.16,2.22,0.66
192705,0.76,5.41,5.04,8.92,5.57,4.89,5.25,6.1,8.92,5.74,5.31,5.11,4.71,5.21,5.28,5.15,8.93,8.07,10.85
192706,23.18,-0.98,-2.86,-2.22,0.08,-3.1,-2.69,-2.51,-2.35,0.92,-1.21,-3,-3.18,-2.65,-2.73,-2.66,-2.07,-2.13,-2.83
