date,Mkt-RF,HH,PG,UL,RF
199312,0.0165,0.0484,0.004405,0.047053,0.0023
199401,0.0287,0.0434,0.049298,0.028269,0.0025
199402,-0.0256,-0.0163,-0.033613,-0.049828,0.0021
199403,-0.0478,-0.0567,-0.069565,-0.113924,0.0027
199404,0.0068,-0.0098,0.068879,0.09222000000000001,0.0027
199405,0.0058,-0.0326,-0.008791,-0.061069000000000005,0.0031
199406,-0.0303,-0.0195,-0.053215,-0.03252,0.0031
199407,0.0282,-0.0025,0.051054,0.033613,0.0028
199408,0.0401,0.0622,0.091928,0.138211,0.0037
199409,-0.0231,-0.0059,-0.020534,0.008929000000000001,0.0037
199410,0.0134,-0.0106,0.060377,0.042477999999999995,0.0038
199411,-0.0404,-0.0474,-0.005964,-0.047538,0.0037
199412,0.0086,-0.0288,-0.008,0.046625,0.0044
199501,0.018000000000000002,-0.0143,0.056048,0.015437000000000001,0.0042
199502,0.0363,0.0221,0.021113,0.005068,0.004
199503,0.0218,-0.0026,-0.003759,0.07562999999999999,0.0046
199504,0.0211,0.0114,0.06,0.002744,0.0044
199505,0.028999999999999998,-0.0154,0.028623000000000003,-0.014308000000000001,0.0054
199506,0.0272,0.0056,0.0,0.041935,0.0047
199507,0.0372,0.0367,-0.036174,0.010836,0.0045
199508,0.0055,0.0067,0.007259999999999999,-0.081164,0.0047
199509,0.0335,0.0315,0.10991,0.06666699999999999,0.0043
199510,-0.0152,-0.0402,0.05714299999999999,-0.0375,0.0047
199511,0.0395,-0.0122,0.067901,0.020027,0.0042
199512,0.0103,-0.0176,-0.040462,0.083333,0.0049
199601,0.0226,0.0285,0.016867,-0.017751,0.0043
199602,0.0133,0.0531,-0.023809999999999998,-0.09487999999999999,0.0039
199603,0.0073,0.0279,0.033537,0.031338,0.0039
199604,0.0206,0.0581,0.0017699999999999999,0.009628,0.0046
199605,0.0236,0.0759,0.039941000000000004,0.010033,0.0042
199606,-0.0114,-0.0276,0.031294,0.069536,0.004
199607,-0.0597,-0.0839,-0.010206999999999999,-0.0387,0.0045
199608,0.0276,0.0291,-0.004202,0.05152999999999999,0.0041
199609,0.0502,0.0286,0.09704600000000001,0.06585,0.0044
199610,0.0086,-0.0127,0.02,-0.014368,0.0042
199611,0.0625,-0.0144,0.098485,0.127956,0.0041
199612,-0.017,0.0171,-0.010345,0.016949000000000002,0.0046
199701,0.0499,0.0611,0.07498300000000001,-0.076923,0.0045
199702,-0.0049,-0.0381,0.038919,0.152778,0.0039
199703,-0.0503,-0.0474,-0.044745,0.009639,0.0043
199704,0.0404,-0.0044,0.09978200000000001,0.038919,0.0043
199705,0.0674,0.08900000000000001,0.096421,0.019814,0.0049
199706,0.040999999999999995,0.0284,0.024479,0.061714,0.0037
199707,0.0733,0.0264,0.080566,0.015608000000000002,0.0043
199708,-0.0415,0.0048,-0.12489700000000001,-0.046635,0.0041
199709,0.0535,0.0693,0.037558999999999995,0.055586,0.0044
199710,-0.038,-0.0433,-0.011729,0.019484,0.0042
199711,0.0298,-0.0119,0.120404,0.057415,0.0039
199712,0.0132,-0.0656,0.047580000000000004,0.086614,0.0048
199801,0.0015,0.0396,-0.014846999999999999,-0.083333,0.0043
199802,0.0703,0.0685,0.08293500000000001,0.16996,0.0039
199803,0.0476,0.0415,-0.0058909999999999995,0.054054,0.0039
199804,0.0073,0.04,-0.022933000000000002,0.095105,0.0043
199805,-0.0307,-0.0355,0.020531999999999998,0.04142,0.004
199806,0.0318,-0.0288,0.08569299999999999,-0.015625,0.0041
199807,-0.0246,-0.0562,-0.12521600000000002,-0.102453,0.004
199808,-0.1608,-0.1957,-0.03622,-0.099678,0.0043
199809,0.0615,0.0027,-0.070261,-0.028571,0.0046
199810,0.0713,0.0211,0.250931,0.20036800000000002,0.0032
199811,0.061,0.0507,-0.01198,0.034203,0.0031
199812,0.0616,-0.0104,0.042082999999999995,0.07142899999999999,0.0038
199901,0.035,0.0695,-0.0016699999999999998,-0.097222,0.0035
199902,-0.0408,-0.0226,-0.015131,-0.04,0.0035
199903,0.0345,-0.0338,0.094274,-0.05128200000000001,0.0043
199904,0.0433,0.0636,-0.039209,-0.0185,0.0037
199905,-0.0246,0.0555,-0.004664,0.010011,0.0034
199906,0.0477,0.0539,-0.044177,0.056738,0.004
199907,-0.0347,-0.0201,0.018290999999999998,0.033557,0.0038
199908,-0.0138,-0.0661,0.095928,-0.001623,0.0039
199909,-0.0281,-0.0676,-0.055416,0.0,0.0039
199910,0.0613,-0.0228,0.12208,-0.03252,0.0039
199911,0.0337,0.0132,0.034565,-0.194751,0.0036
199912,0.0772,0.0446,0.009793000000000001,0.018947,0.0044
200001,-0.0474,0.0287,-0.074661,-0.14876,0.0041
200002,0.0245,0.0582,-0.13048900000000002,-0.048544,0.0043
200003,0.052000000000000005,0.0112,-0.357041,0.066327,0.0047
200004,-0.064,-0.0465,0.063186,-0.026877999999999996,0.0046
200005,-0.0442,-0.0434,0.112971,0.09296499999999999,0.005
200006,0.0464,0.0318,-0.139098,-0.075862,0.004
200007,-0.0251,-0.0219,-0.000437,-0.037313,0.0048
200008,0.0703,0.0382,0.086813,0.054264,0.005
200009,-0.0545,-0.0408,0.083923,0.029412,0.0051
200010,-0.0276,-0.0535,0.07145499999999999,0.061904999999999995,0.0056
200011,-0.1072,-0.0418,0.048119,0.222181,0.0051
200012,0.0119,0.001,0.047579,0.022181,0.005
200101,0.0313,0.1667,-0.079649,-0.105967,0.0054
200102,-0.1005,-0.032,-0.018653,-0.0077670000000000005,0.0038
200103,-0.0726,-0.0599,-0.11205699999999999,-0.053815999999999996,0.0042
200104,0.0794,0.0628,-0.035144,0.064347,0.0039
200105,0.0072,0.0642,0.069775,0.024037,0.0032
200106,-0.0194,-0.0113,-0.006848999999999999,0.109325,0.0028
200107,-0.0213,0.0052,0.119122,-0.0028989999999999997,0.003
200108,-0.0646,-0.0243,0.044072,0.0,0.0031
200109,-0.0925,-0.1395,-0.018341,-0.127907,0.0028
200110,0.0246,0.0697,0.018821,-0.031667,0.0022
200111,0.0754,0.0831,0.049878,0.12505,0.0017
200112,0.0161,0.0464,0.021559000000000002,0.027486,0.0015
200201,-0.0144,0.0567,0.037028,-0.016531,0.0014
200202,-0.0229,0.0235,0.038075,0.025977999999999998,0.0013
200203,0.0424,0.0839,0.06250700000000001,-0.055704,0.0013
